x,y,s,Bx,By,Bs
-3.799999999999999906e-02,0.000000000000000000e+00,-9.103760649796388549e-01,0.000000000000000000e+00,1.794993100820086170e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.093760649796389650e-01,0.000000000000000000e+00,1.875747547947301122e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.083760649796390751e-01,0.000000000000000000e+00,1.959767509478227058e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.073760649796391853e-01,0.000000000000000000e+00,2.047168473170526653e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.063760649796392954e-01,0.000000000000000000e+00,2.138069335011813561e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.053760649796394055e-01,0.000000000000000000e+00,2.232592475294649747e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.043760649796395157e-01,0.000000000000000000e+00,2.330863835622199603e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.033760649796396258e-01,0.000000000000000000e+00,2.433012996835978367e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.023760649796397360e-01,0.000000000000000000e+00,2.539173257856132846e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.013760649796398461e-01,0.000000000000000000e+00,2.649481715424884575e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-9.003760649796399562e-01,0.000000000000000000e+00,2.764079344742658630e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-8.993760649796400664e-01,0.000000000000000000e+00,2.883111080986437903e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-8.983760649796401765e-01,0.000000000000000000e+00,3.006725901699528963e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-8.973760649796402866e-01,0.000000000000000000e+00,3.135076910041062622e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-8.963760649796403968e-01,0.000000000000000000e+00,3.268321418883542195e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-8.953760649796405069e-01,0.000000000000000000e+00,3.406621035746747010e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-8.943760649796406170e-01,0.000000000000000000e+00,3.550141748554732398e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-8.933760649796407272e-01,0.000000000000000000e+00,3.699054012203960621e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-8.923760649796408373e-01,0.000000000000000000e+00,3.853532835929012596e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-8.913760649796409474e-01,0.000000000000000000e+00,4.013757871452675171e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-8.903760649796410576e-01,0.000000000000000000e+00,4.179913501906856163e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-8.893760649796411677e-01,0.000000000000000000e+00,4.352188931510295546e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-8.883760649796412778e-01,0.000000000000000000e+00,4.530778275989506051e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-8.873760649796413880e-01,0.000000000000000000e+00,4.715880653728058406e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-8.863760649796414981e-01,0.000000000000000000e+00,4.907700277630343630e-05,0.000000000000000000e+00
-3.799999999999999906e-02,0.000000000000000000e+00,-8.853760649796416082e-01,0.000000000000000000e+00,5.106446547685350440e-05,0.000000000000000000e+00
