x,y,z,phi_m,Ax,Ay,Az,Bx,By,Bz
0.81949413, 0, -0.4125962, 0.00080539615, -0.0184416, -6.0509648e-07, 0.0091588947, -0.0013596862, 0.35220529, -0.0070278188
0.81993874, 0, -0.41171193, 0.00081213531, -0.018376795, -6.7267651e-07, 0.0091347212, -0.0013254672, 0.35552863, -0.0068626136
0.8203824, 0, -0.41082718, 0.0008187104, -0.018310026, -7.3929777e-07, 0.0091099721, -0.001289138, 0.35877984, -0.0066877783
0.8208251, 0, -0.40994196, 0.00082511216, -0.018241358, -8.0493356e-07, 0.009084662, -0.0012508282, 0.36195468, -0.0065039579
0.82126684, 0, -0.40905625, 0.00083133199, -0.018170859, -8.6955842e-07, 0.0090588064, -0.0012106871, 0.36504922, -0.0063118825
0.82170764, 0, -0.40817008, 0.00083736206, -0.018098601, -9.3314805e-07, 0.0090324217, -0.001168882, 0.36805988, -0.006112359
0.82214747, 0, -0.40728342, 0.00084319533, -0.018024657, -9.9567945e-07, 0.0090055249, -0.0011255957, 0.37098342, -0.0059062613
0.82258635, 0, -0.4063963, 0.00084882565, -0.017949106, -1.0571309e-06, 0.0089781338, -0.0010810246, 0.37381701, -0.0056945189
0.82302427, 0, -0.4055087, 0.00085424781, -0.017872027, -1.1174818e-06, 0.008950267, -0.0010353755, 0.37655824, -0.0054781043
0.82346123, 0, -0.40462062, 0.00085945755, -0.017793501, -1.176713e-06, 0.0089219435, -0.00098886296, 0.37920515, -0.0052580188
0.82389724, 0, -0.40373208, 0.00086445161, -0.017713612, -1.2348066e-06, 0.0088931827, -0.00094170581, 0.38175621, -0.0050352789
0.82433228, 0, -0.40284307, 0.00086922772, -0.017632444, -1.291746e-06, 0.0088640044, -0.00089412419, 0.38421036, -0.0048109012
0.82476637, 0, -0.40195359, 0.00087378462, -0.017550081, -1.3475157e-06, 0.0088344288, -0.00084633628, 0.38656697, -0.0045858891
0.8251995, 0, -0.40106364, 0.00087812201, -0.017466609, -1.4021018e-06, 0.0088044761, -0.00079855532, 0.38882589, -0.0043612186
0.82563166, 0, -0.40017322, 0.00088224054, -0.017382114, -1.4554915e-06, 0.0087741667, -0.00075098675, 0.39098736, -0.0041378266
0.82606287, 0, -0.39928234, 0.00088614176, -0.017296679, -1.5076733e-06, 0.0087435211, -0.00070382577, 0.39305205, -0.0039165995
0.82649311, 0, -0.39839099, 0.00088982806, -0.017210388, -1.5586369e-06, 0.0087125594, -0.00065725515, 0.39502102, -0.0036983643
0.8269224, 0, -0.39749918, 0.00089330264, -0.017123323, -1.6083736e-06, 0.0086813018, -0.0006114434, 0.39689568, -0.0034838805
0.82735072, 0, -0.39660691, 0.00089656938, -0.017035566, -1.6568755e-06, 0.0086497684, -0.00056654351, 0.39867775, -0.0032738347
0.82777807, 0, -0.39571418, 0.00089963285, -0.016947195, -1.7041362e-06, 0.0086179785, -0.00052269192, 0.40036928, -0.0030688366
0.82820447, 0, -0.39482098, 0.00090249815, -0.016858288, -1.7501504e-06, 0.0085859516, -0.00048000798, 0.40197254, -0.0028694171
0.8286299, 0, -0.39392733, 0.00090517089, -0.016768918, -1.7949143e-06, 0.0085537064, -0.00043859379, 0.40349004, -0.0026760272
0.82905437, 0, -0.39303322, 0.00090765709, -0.016679159, -1.8384248e-06, 0.0085212614, -0.00039853433, 0.40492448, -0.0024890399
0.82947787, 0, -0.39213865, 0.0009099631, -0.016589078, -1.8806802e-06, 0.0084886343, -0.00035989798, 0.40627869, -0.0023087522
0.8299004, 0, -0.39124362, 0.00091209555, -0.016498744, -1.9216802e-06, 0.0084558424, -0.00032273715, 0.40755564, -0.0021353886
0.83032197, 0, -0.39034814, 0.00091406126, -0.016408219, -1.961425e-06, 0.0084229027, -0.00028708926, 0.40875837, -0.0019691054
0.83074258, 0, -0.3894522, 0.00091586715, -0.016317564, -1.9999165e-06, 0.0083898312, -0.00025297777, 0.40989, -0.001809996
0.83116222, 0, -0.38855581, 0.00091752026, -0.016226837, -2.0371573e-06, 0.0083566436, -0.00022041338, 0.41095366, -0.0016580961
0.83158089, 0, -0.38765897, 0.00091902762, -0.016136094, -2.073151e-06, 0.0083233547, -0.00018939525, 0.41195249, -0.00151339
0.83199859, 0, -0.38676168, 0.00092039622, -0.016045384, -2.1079025e-06, 0.0082899791, -0.00015991228, 0.41288961, -0.0013758156
0.83241532, 0, -0.38586394, 0.00092163298, -0.015954759, -2.1414173e-06, 0.0082565304, -0.00013194436, 0.41376813, -0.0012452711
0.83283109, 0, -0.38496575, 0.00092274473, -0.015864263, -2.1737022e-06, 0.0082230218, -0.00010546363, 0.41459107, -0.0011216201
0.83324589, 0, -0.38406711, 0.00092373814, -0.015773939, -2.2047645e-06, 0.0081894659, -8.0435618e-05, 0.41536141, -0.0010046973
0.83365971, 0, -0.38316802, 0.00092461969, -0.015683828, -2.2346127e-06, 0.0081558746, -5.6820373e-05, 0.41608205, -0.00089431296
0.83407257, 0, -0.38226849, 0.00092539571, -0.015593967, -2.263256e-06, 0.0081222592, -3.4573488e-05, 0.4167558, -0.0007902585
0.83448446, 0, -0.38136851, 0.00092607228, -0.015504392, -2.2907045e-06, 0.0080886308, -1.3647037e-05, 0.41738537, -0.00069230996
0.83489537, 0, -0.38046809, 0.00092665529, -0.015415134, -2.3169688e-06, 0.0080549994, 6.0095674e-06, 0.41797338, -0.00060023222
0.83530532, 0, -0.37956723, 0.00092715038, -0.015326223, -2.3420605e-06, 0.0080213749, 2.4448816e-05, 0.41852234, -0.00051378232
0.83571429, 0, -0.37866592, 0.00092756295, -0.015237688, -2.3659917e-06, 0.0079877665, 4.1724423e-05, 0.41903464, -0.00043271253
0.83612229, 0, -0.37776418, 0.00092789817, -0.015149553, -2.3887755e-06, 0.0079541829, 5.7890737e-05, 0.41951259, -0.00035677294
0.83652931, 0, -0.37686199, 0.00092816096, -0.015061842, -2.4104253e-06, 0.0079206324, 7.3002225e-05, 0.41995838, -0.00028571373
0.83693536, 0, -0.37595937, 0.00092835599, -0.014974576, -2.4309551e-06, 0.0078871229, 8.7113025e-05, 0.42037406, -0.00021928716
0.83734044, 0, -0.37505631, 0.0009284877, -0.014887775, -2.4503796e-06, 0.0078536617, 0.00010027657, 0.42076163, -0.00015724913
0.83774455, 0, -0.37415281, 0.00092856029, -0.014801456, -2.468714e-06, 0.0078202557, 0.00011254528, 0.42112294, -9.9360653e-05
0.83814768, 0, -0.37324888, 0.00092857773, -0.014715635, -2.4859739e-06, 0.0077869116, 0.00012397025, 0.42145975, -4.5388841e-05
0.83854983, 0, -0.37234451, 0.00092854375, -0.014630327, -2.5021754e-06, 0.0077536355, 0.00013460111, 0.42177373, 4.8920927e-06
